week_index,day_index,Shift,Hour,Avg_PassengersHour_3yr,Avg_BoothsHour_3yr
1,1,00-08,0,116.5,5.5
1,1,00-08,1,233.6666667,5.666666667
1,1,00-08,2,135,4
1,1,00-08,3,188,6
1,1,00-08,4,134,6
1,1,00-08,5,362.6666667,8.666666667
1,1,00-08,6,253.6666667,7.666666667
1,1,00-08,7,279.6666667,12.66666667
1,1,08-16,8,444.3333333,16.33333333
1,1,08-16,9,242,10.66666667
1,1,08-16,10,195,10.33333333
1,1,08-16,11,19,3.5
1,1,08-16,12,435.5,13
1,1,08-16,13,347.6666667,13.66666667
1,1,08-16,14,804,16.33333333
1,1,08-16,15,1329.333333,18.66666667
1,1,16-00,16,824.6666667,18.33333333
1,1,16-00,17,118,8.333333333
1,1,16-00,18,284,12
1,1,16-00,19,896.3333333,11.33333333
1,1,16-00,20,437,10.33333333
1,1,16-00,21,142,6
1,1,16-00,22,371.3333333,6
1,1,16-00,23,164,6.333333333
1,2,00-08,0,168,6
1,2,00-08,1,140.5,6
1,2,00-08,2,201.6666667,4
1,2,00-08,3,63,4
1,2,00-08,4,86,6
1,2,00-08,5,344.3333333,9
1,2,00-08,6,71,8.5
1,2,00-08,7,417.3333333,13
1,2,08-16,8,741,11
1,2,08-16,9,405.6666667,9.666666667
1,2,08-16,10,74.5,8.5
1,2,08-16,11,94.66666667,8
1,2,08-16,12,150,9.5
1,2,08-16,13,445,15.66666667
1,2,08-16,14,810.3333333,16.33333333
1,2,08-16,15,1082,15.66666667
1,2,16-00,16,692,15.33333333
1,2,16-00,17,288,10.66666667
1,2,16-00,18,103.6666667,8.333333333
1,2,16-00,19,760.3333333,13
1,2,16-00,20,385.3333333,11.33333333
1,2,16-00,21,367,6
1,2,16-00,22,195,4.666666667
1,2,16-00,23,161.3333333,4.333333333
1,3,00-08,0,88,4
1,3,00-08,1,123,4.666666667
1,3,00-08,2,142,4
1,3,00-08,3,88.5,3.5
1,3,00-08,4,273,5
1,3,00-08,5,350.5,9
1,3,00-08,6,150,6.5
1,3,00-08,7,591.6666667,14
1,3,08-16,8,414,16.5
1,3,08-16,9,515.6666667,13.33333333
1,3,08-16,10,37.5,6.5
1,3,08-16,11,161,13
1,3,08-16,12,135,10.5
1,3,08-16,13,374.3333333,13.66666667
1,3,08-16,14,483.3333333,14.66666667
1,3,08-16,15,585.6666667,14
1,3,16-00,16,762.5,15.5
1,3,16-00,17,611.5,11.5
1,3,16-00,18,194,6
1,3,16-00,19,561.5,11
1,3,16-00,20,538.5,9
1,3,16-00,21,510,6
1,3,16-00,22,239,5.5
1,3,16-00,23,138.6666667,5.333333333
1,4,00-08,0,58,4
1,4,00-08,1,122.3333333,5
1,4,00-08,2,142,5
1,4,00-08,3,48,4
1,4,00-08,4,137,9
1,4,00-08,5,329.3333333,6.666666667
1,4,00-08,6,133,5.333333333
1,4,00-08,7,435.3333333,13
1,4,08-16,8,183,10.33333333
1,4,08-16,9,313,9.666666667
1,4,08-16,10,22,5
1,4,08-16,11,169,10
1,4,08-16,12,190.6666667,8.666666667
1,4,08-16,13,406,11.66666667
1,4,08-16,14,1054,14.33333333
1,4,08-16,15,894.6666667,16
1,4,16-00,16,662.3333333,15
1,4,16-00,17,169.6666667,9.333333333
1,4,16-00,18,143.3333333,8.333333333
1,4,16-00,19,783.3333333,11.33333333
1,4,16-00,20,503.6666667,10
1,4,16-00,21,206,6
1,4,16-00,22,340,6
1,4,16-00,23,102.6666667,5.666666667
1,5,00-08,0,196.6666667,5.333333333
1,5,00-08,1,95,5.333333333
1,5,00-08,2,159,3
1,5,00-08,3,145,4.5
1,5,00-08,4,98,7
1,5,00-08,5,160.3333333,5.666666667
1,5,00-08,6,461.6666667,7.333333333
1,5,00-08,7,478.5,12.5
1,5,08-16,8,493,14
1,5,08-16,9,384.6666667,9.333333333
1,5,08-16,10,44.66666667,6.666666667
1,5,08-16,11,185,7
1,5,08-16,12,187,9
1,5,08-16,13,608,11
1,5,08-16,14,872.6666667,15
1,5,08-16,15,1385.666667,17.66666667
1,5,16-00,16,744.3333333,18
1,5,16-00,17,290,13
1,5,16-00,18,266,9.333333333
1,5,16-00,19,916,10.33333333
1,5,16-00,20,526.3333333,8.666666667
1,5,16-00,21,378,7
1,5,16-00,22,142.6666667,5.666666667
1,5,16-00,23,192.3333333,6
1,6,00-08,0,153,4.5
1,6,00-08,1,155.6666667,4.333333333
1,6,00-08,2,118.5,4.5
1,6,00-08,3,96.5,3
1,6,00-08,4,220,6
1,6,00-08,5,611.3333333,8.333333333
1,6,00-08,6,321.6666667,8.333333333
1,6,00-08,7,343,13
1,6,08-16,8,317.6666667,13
1,6,08-16,9,442,11
1,6,08-16,10,186,6.333333333
1,6,08-16,11,230,5
1,6,08-16,12,228.6666667,7.666666667
1,6,08-16,13,511.3333333,14.33333333
1,6,08-16,14,1142.333333,16.33333333
1,6,08-16,15,1180.333333,15.33333333
1,6,16-00,16,1196.666667,17
1,6,16-00,17,151,18
1,6,16-00,18,395.6666667,12.33333333
1,6,16-00,19,776.3333333,12.33333333
1,6,16-00,20,903,9.666666667
1,6,16-00,21,473,6
1,6,16-00,22,219.6666667,5.333333333
1,6,16-00,23,202.6666667,6
1,7,00-08,0,255.6666667,5
1,7,00-08,1,255.6666667,5
1,7,00-08,2,140.5,5.5
1,7,00-08,3,102,4.5
1,7,00-08,4,160,4
1,7,00-08,5,170.3333333,6.333333333
1,7,00-08,6,691.6666667,8
1,7,00-08,7,269,14
1,7,08-16,8,790,12.66666667
1,7,08-16,9,240,9.333333333
1,7,08-16,10,163.5,7.5
1,7,08-16,11,243.5,6.5
1,7,08-16,12,154,6.5
1,7,08-16,13,490,11
1,7,08-16,14,909,15
1,7,08-16,15,1311.333333,18.66666667
1,7,16-00,16,945.3333333,18.66666667
1,7,16-00,17,198.3333333,12.33333333
1,7,16-00,18,481.6666667,12.33333333
1,7,16-00,19,558.3333333,11
1,7,16-00,20,1110,9.666666667
1,7,16-00,21,235,6.666666667
1,7,16-00,22,173.6666667,4.333333333
1,7,16-00,23,198,5
2,1,00-08,0,134.5,4.5
2,1,00-08,1,84.5,4.5
2,1,00-08,2,141.3333333,4.333333333
2,1,00-08,3,97,5.5
2,1,00-08,4,200,6
2,1,00-08,5,502.3333333,9.333333333
2,1,00-08,6,432.3333333,9.666666667
2,1,00-08,7,395.3333333,14
2,1,08-16,8,424,12
2,1,08-16,9,270.6666667,10.66666667
2,1,08-16,10,97,9
2,1,08-16,11,158,9
2,1,08-16,12,311.3333333,10.66666667
2,1,08-16,13,419,13
2,1,08-16,14,899.6666667,15.33333333
2,1,08-16,15,1491.333333,15.33333333
2,1,16-00,16,485.6666667,16.33333333
2,1,16-00,17,280,9
2,1,16-00,18,577.3333333,10.33333333
2,1,16-00,19,850.6666667,10.66666667
2,1,16-00,20,694.5,11.5
2,1,16-00,21,222.6666667,9
2,1,16-00,22,189.3333333,5
2,1,16-00,23,364.6666667,7.333333333
2,2,00-08,0,106,6
2,2,00-08,1,94.33333333,5.666666667
2,2,00-08,2,138.3333333,5.666666667
2,2,00-08,3,81.5,5.5
2,2,00-08,4,184,7
2,2,00-08,5,366.6666667,8
2,2,00-08,6,290.3333333,8.333333333
2,2,00-08,7,387.5,14.5
2,2,08-16,8,602,16.5
2,2,08-16,9,334.6666667,12.33333333
2,2,08-16,10,56.33333333,9.333333333
2,2,08-16,11,290,12
2,2,08-16,12,377,14
2,2,08-16,13,317,15.5
2,2,08-16,14,1251.666667,19
2,2,08-16,15,1040,20
2,2,16-00,16,603.3333333,18
2,2,16-00,17,365.5,12
